qid,label,description,author,genre,form_of_creative_work,language,country,publication_date,publisher,instance_of,award_received,first_line,last_line,epigraph,genre_from_description,genre_clean,genre_combined,genre_standardized,publication_year,literary_period,country_grouped,text,text_filtered,fiction_type,is_predicted,prediction_confidence
Q1215312,The Outsiders,novel by S. E. Hinton,S. E. Hinton,bildungsroman,novel,English,United States,+1967-04-24T00:00:00Z,,literary work,,"WHEN I STEPPED out into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home.",,,,bildungsroman,bildungsroman,realistic,1967.0,postwar,United States,"The Outsiders WHEN I STEPPED out into the bright sunlight from the darkness of the movie house, I had only two things on my mind: Paul Newman and a ride home. novel by S. E. Hinton","the i stepped out into the bright sunlight from the darkness of the movie house , i had only things on my mind : and a ride home . novel by",realistic,False,
Q1541914,The Handmaid's Tale,1985 novel by Margaret Atwood,Margaret Atwood,feminism,novel,English,Canada,+1985-08-00T00:00:00Z,McClelland & Stewart,literary work,Arthur C. Clarke Award,,Are there any questions?,"In the desert there is no sign that says, Thou shalt not eat stones.",,feminism,feminism,other,1985.0,contemporary,Canada,"The Handmaid's Tale Are there any questions? In the desert there is no sign that says, Thou shalt not eat stones. 1985 novel by Margaret Atwood","the 's there any questions ? in the desert there is no sign that says , shalt not eat stones . novel by",speculative,True,0.5836347222845432
Q637839,The Kite Runner,2003 novel by Khaled Hosseini,Khaled Hosseini,,novel,English,United States,+2003-05-29T00:00:00Z,,literary work,,,,,,,,,2003.0,modern,United States,The Kite Runner 2003 novel by Khaled Hosseini,the novel by,,False,
Q11678,The Hunger Games,2008 novel by Suzanne Collins,Suzanne Collins,young adult fiction,novel,English,United States,+2008-09-14T00:00:00Z,Scholastic Corporation,literary work,Vermont Golden Dome Book Award,,,,,young adult fiction,young adult fiction,other,2008.0,modern,United States,The Hunger Games 2008 novel by Suzanne Collins,the novel by,other,False,
Q557867,Fifty Shades of Grey,2011 erotic romance novel by E.L. James,E. L. James,erotic romance novel,,English,United Kingdom,+2011-06-20T00:00:00Z,Vintage Books,literary work,,,,,romance,erotic romance novel,erotic romance novel,realistic,2011.0,modern,United Kingdom,Fifty Shades of Grey 2011 erotic romance novel by E.L. James,of erotic romance novel by,realistic,False,
Q3257270,Discworld,fantasy book series by Terry Pratchett,Terry Pratchett,fantasy,,English,United Kingdom,+1983-00-00T00:00:00Z,,novel series,,,,,fantasy,fantasy,fantasy,speculative,1983.0,contemporary,United Kingdom,Discworld fantasy book series by Terry Pratchett,fantasy book series by,speculative,False,
Q215894,Candide,1759 book by Voltaire,Voltaire,bildungsroman,novella,French,France,+1759-00-00T00:00:00Z,,literary work,,,,,,bildungsroman,bildungsroman,realistic,1759.0,classical,France,Candide 1759 book by Voltaire,candide book by,realistic,False,
Q170583,Pride and Prejudice,1813 novel by Jane Austen,Jane Austen,novel of manners,novel,British English,Kingdom of Great Britain,+1813-01-28T00:00:00Z,,literary work,,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.","Darcy, as well as Elizabeth, really loved them; and they were both ever sensible of the warmest gratitude towards the persons who, by bringing her into Derbyshire, had been the means of uniting them.",,,novel of manners,novel of manners,realistic,1813.0,romantic,other,"Pride and Prejudice It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. Darcy, as well as Elizabeth, really loved them; and they were both ever sensible of the warmest gratitude towards the persons who, by bringing her into Derbyshire, had been the means of uniting them. 1813 novel by Jane Austen","and it is a truth universally acknowledged , that a single man in possession of a good fortune , must be in want of a wife . , as well as , really loved them ; and they were both ever sensible of the warmest gratitude towards the persons who , by bringing her into , had been the means of uniting them . novel by",realistic,False,
Q17639750,When Marnie Was There,1967 novel by Joan Gale Robinson,Joan Gale Robinson,,novel,English,United Kingdom,+1967-00-00T00:00:00Z,,literary work,,,,,,,,,1967.0,postwar,United Kingdom,When Marnie Was There 1967 novel by Joan Gale Robinson,when there novel by,speculative,True,0.5571876387003695
Q8258,One Thousand and One Nights,collection of Middle Eastern folk stories,various authors,,collection of fairy tales,Arabic,Middle East,,,literary work,,,,,,,,,,unknown,other,One Thousand and One Nights collection of Middle Eastern folk stories,and collection of folk stories,speculative,True,0.6163559426625451
Q2657795,Wolf Hall,2009 historical novel by Hilary Mantel,Hilary Mantel,historical fiction,novel,English,United Kingdom,+2009-04-30T00:00:00Z,,literary work,Booker Prize,,,,historical,historical fiction,historical fiction,realistic,2009.0,modern,United Kingdom,Wolf Hall 2009 historical novel by Hilary Mantel,historical novel by,realistic,False,
Q374204,Life of Pi,2001 novel by Yann Martel,Yann Martel,fantasy,novel,Romanian,Canada,,,literary work,Booker Prize,My suffering left me sad and gloomy.,,,,fantasy,fantasy,speculative,,unknown,Canada,Life of Pi My suffering left me sad and gloomy. 2001 novel by Yann Martel,of suffering left me sad and gloomy . novel by,speculative,False,
Q65063529,Where the Crawdads Sing,2018 novel by Delia Owens,Delia Owens,,novel,American English,United States,+2018-08-14T00:00:00Z,,literary work,Reese's Book Club,,,,,,,,2018.0,modern,United States,Where the Crawdads Sing 2018 novel by Delia Owens,where the novel by,speculative,True,0.6083896550570962
Q25338,The Little Prince,novel by Antoine de Saint-Exupéry (1943),Antoine de Saint-Exupéry,lyrical novel,novel,French,United States,+1943-04-06T00:00:00Z,,literary work,Le Monde's 100 Books of the Century,,,,,lyrical novel,lyrical novel,realistic,1943.0,modernist,United States,The Little Prince novel by Antoine de Saint-Exupéry (1943),the little novel by de ( ),realistic,False,
Q43361,Harry Potter and the Philosopher's Stone,1997 novel by J. K. Rowling,Q34660,young adult fiction,novel,English,United Kingdom,+1997-06-30T00:00:00Z,Bloomsbury Publishing,literary work,The British Book Awards,"Mr and Mrs Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.",I'm going to have a lot of fun with Dudley this summer ...,,,young adult fiction,young adult fiction,other,1997.0,contemporary,United Kingdom,"Harry Potter and the Philosopher's Stone Mr and Mrs Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much. I'm going to have a lot of fun with Dudley this summer ... 1997 novel by J. K. Rowling","and the 's and , of number , , were proud to say that they were perfectly normal , thank you very much . i 'm going to have a lot of fun with this summer ... novel by",speculative,True,0.6499550342407381
Q1141815,The Call of Cthulhu,1928 short story by H. P. Lovecraft,H. P. Lovecraft,horror literature,short story,English,United States,+1928-02-00T00:00:00Z,,literary work,,"The most merciful thing in the world, I think, is the inability of the human mind to correlate all its contents.","Let me pray that, if I do not survive this manuscript, my executors may put caution before audacity and see that it meets no other eye.","Of such great powers or beings there may be conceivably a survival . . . a survival of a hugely remote period when . . . consciousness was manifested, perhaps, in shapes and forms long since withdrawn before the tide of advancing humanity . . . forms of which poetry and legend alone have caught a flying memory and called them gods, monsters, mythical beings of all sorts and kinds. . . .",,horror literature,horror literature,speculative,1928.0,modernist,United States,"The Call of Cthulhu The most merciful thing in the world, I think, is the inability of the human mind to correlate all its contents. Let me pray that, if I do not survive this manuscript, my executors may put caution before audacity and see that it meets no other eye. Of such great powers or beings there may be conceivably a survival . . . a survival of a hugely remote period when . . . consciousness was manifested, perhaps, in shapes and forms long since withdrawn before the tide of advancing humanity . . . forms of which poetry and legend alone have caught a flying memory and called them gods, monsters, mythical beings of all sorts and kinds. . . . 1928 short story by H. P. Lovecraft","the of the most merciful thing in the world , i think , is the inability of the human mind to correlate all its contents . let me pray that , if i do not survive this manuscript , my executors may put caution before audacity and see that it meets no other eye . of such great powers or beings there may be conceivably a survival . . . a survival of a hugely remote period when . . . consciousness was manifested , perhaps , in shapes and forms long since withdrawn before the tide of advancing humanity . . . forms of which poetry and legend alone have caught a flying memory and called them gods , monsters , mythical beings of all sorts and kinds . . . . short story by",speculative,False,
Q739702,Warriors,series of juvenile fantasy novels,Erin Hunter,fantasy,,English,United Kingdom,+2003-00-00T00:00:00Z,HarperCollins,novel series,,,,,fantasy,fantasy,fantasy,speculative,2003.0,modern,United Kingdom,Warriors series of juvenile fantasy novels,warriors series of juvenile fantasy novels,speculative,False,
Q11838,Little Red Riding Hood,European fairy tale (ATU 333),,fairy tale,,,Europe,,,Märchen,,,,,fairy tale,fairy tale,fairy tale,speculative,,unknown,other,Little Red Riding Hood European fairy tale (ATU 333),little fairy tale ( ),speculative,False,
Q46887,Harry Potter and the Half-Blood Prince,fantasy novel by J. K. Rowling,Q34660,young adult fiction,novel,British English,United Kingdom,+2005-07-16T00:00:00Z,Bloomsbury Publishing,literary work,,"It was nearing midnight and the Prime Minister was sitting alone in his office, reading a long memo that was slipping through his brain without leaving the lightest trace of meaning behind.","His hand closed automatically around the fake Horcrux, but in spite of everything, in spite of the dark and twisting path he saw stretching ahead for himself, in spite of the final meeting with Voldemort he knew must come, whether in a month, in a year, or in ten, he felt his heart lift at the thought that there was still one last golden day of peace left to enjoy with Ron and Hermione.",,fantasy,young adult fiction,young adult fiction,other,2005.0,modern,United Kingdom,"Harry Potter and the Half-Blood Prince It was nearing midnight and the Prime Minister was sitting alone in his office, reading a long memo that was slipping through his brain without leaving the lightest trace of meaning behind. His hand closed automatically around the fake Horcrux, but in spite of everything, in spite of the dark and twisting path he saw stretching ahead for himself, in spite of the final meeting with Voldemort he knew must come, whether in a month, in a year, or in ten, he felt his heart lift at the thought that there was still one last golden day of peace left to enjoy with Ron and Hermione. fantasy novel by J. K. Rowling","and the it was nearing midnight and the was sitting alone in his office , reading a long memo that was slipping through his brain without leaving the lightest trace of meaning behind . his hand closed automatically around the fake , but in spite of everything , in spite of the dark and twisting path he saw stretching ahead for himself , in spite of the final meeting with he knew must come , whether in a month , in a year , or in ten , he felt his heart lift at the thought that there was still last golden day of peace left to enjoy with and . fantasy novel by",speculative,True,0.775733475960365
Q213167,Percy Jackson & the Olympians,children's fantasy adventure series,Rick Riordan,fantasy,,American English,United States,+2005-00-00T00:00:00Z,,novel series,,,,,fantasy,fantasy,fantasy,speculative,2005.0,modern,United States,Percy Jackson & the Olympians children's fantasy adventure series,& the children 's fantasy adventure series,speculative,False,
Q191949,Brave New World,1932 novel by Aldous Huxley,Aldous Huxley,parody,novel,English,United Kingdom,+1932-00-00T00:00:00Z,,literary work,NPR Top 100 Science Fiction and Fantasy Books,,,,,parody,parody,realistic,1932.0,modernist,United Kingdom,Brave New World 1932 novel by Aldous Huxley,novel by,realistic,False,
Q15228,The Lord of the Rings,1954–1955 fantasy novel trilogy by J. R. R. Tolkien,J. R. R. Tolkien,fantasy,three-volume novel,English,United Kingdom,+1954-00-00T00:00:00Z,George Allen & Unwin Limited,novel series,NPR Top 100 Science Fiction and Fantasy Books,"This book is largely concerned with Hobbits, and from its pages a reader may discover much of their character and a little of their history.","'Well, I'm back,' he said.","Three Rings for the Elven-kings under the sky, Seven for the Dwarf-lords in their halls of stone, Nine for Mortal Men doomed to die, One for the Dark Lord on his dark throne In the Land of Mordor where the Shadows lie. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them In the Land of Mordor where the Shadows lie.",fantasy,fantasy,fantasy,speculative,1954.0,postwar,United Kingdom,"The Lord of the Rings This book is largely concerned with Hobbits, and from its pages a reader may discover much of their character and a little of their history. 'Well, I'm back,' he said. Three Rings for the Elven-kings under the sky, Seven for the Dwarf-lords in their halls of stone, Nine for Mortal Men doomed to die, One for the Dark Lord on his dark throne In the Land of Mordor where the Shadows lie. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them In the Land of Mordor where the Shadows lie. 1954–1955 fantasy novel trilogy by J. R. R. Tolkien","the of the this book is largely concerned with , and from its pages a reader may discover much of their character and a little of their history . 'well , i 'm back , ' he said . for the elven-kings under the sky , for the dwarf-lords in their halls of stone , for doomed to die , for the on his dark throne in the of where the lie . ring to rule them all , ring to find them , ring to bring them all and in the darkness bind them in the of where the lie . fantasy novel trilogy by",speculative,False,
Q62879,A Christmas Carol,"novella by the English author Charles Dickens, first published in 1843",Charles Dickens,Christmas fiction,novella,British English,England,+1843-12-19T00:00:00Z,Chapman and Hall,literary work,,"Marley was dead, to begin with.","And so, as Tiny Tim observed, God bless Us, Every One!",,,Christmas fiction,Christmas fiction,other,1843.0,victorian,England,"A Christmas Carol Marley was dead, to begin with. And so, as Tiny Tim observed, God bless Us, Every One! novella by the English author Charles Dickens, first published in 1843","a was dead , to begin with . and so , as observed , bless , ! novella by the author , first published in",realistic,True,0.5103392064379988
Q72309,The Legend of Sleepy Hollow,1820 short story by Washington Irving,Washington Irving,Gothic literature,short story,English,United States,,,literary work,,"In the bosom of one of those spacious coves which indent the eastern shore of the Hudson, at that broad expansion of the river denominated by the ancient Dutch navigators the Tappan Zee, and where they always prudently shortened sail and implored the protection of St. Nicholas when they crossed, there lies a small market town or rural port, which by some is called Greensburgh, but which is more generally and properly known by the name of Tarry Town.","“Faith, sir,” replied the story-teller, “as to that matter, I don’t believe one-half of it myself.” D. K.",,,Gothic literature,Gothic literature,speculative,,unknown,United States,"The Legend of Sleepy Hollow In the bosom of one of those spacious coves which indent the eastern shore of the Hudson, at that broad expansion of the river denominated by the ancient Dutch navigators the Tappan Zee, and where they always prudently shortened sail and implored the protection of St. Nicholas when they crossed, there lies a small market town or rural port, which by some is called Greensburgh, but which is more generally and properly known by the name of Tarry Town. “Faith, sir,” replied the story-teller, “as to that matter, I don’t believe one-half of it myself.” D. K. 1820 short story by Washington Irving","the of in the bosom of of those spacious coves which indent the eastern shore of the , at that broad expansion of the river denominated by the ancient navigators the , and where they always prudently shortened sail and implored the protection of when they crossed , there lies a small market town or rural port , which by some is called , but which is more generally and properly known by the name of . “ , sir , replied the story-teller , “ as to that matter , i don ’ t believe one-half of it myself. ” short story by",speculative,False,
Q18558978,Berserk,Japanese manga series,Kentaro Miura,action anime and manga,,Japanese,Japan,,Hakusensha,manga series,Tezuka Osamu Cultural Prize,,,,,action anime and manga,action anime and manga,other,,unknown,Japan,Berserk Japanese manga series,japanese manga series,speculative,True,0.659895770180585
Q18109559,All the Light We Cannot See,2014 novel by Anthony Doerr,Anthony Doerr,historical fiction,novel,American English,United States,+2014-05-06T00:00:00Z,Charles Scribner's Sons,literary work,Pulitzer Prize for Fiction,,,,,historical fiction,historical fiction,realistic,2014.0,modern,United States,All the Light We Cannot See 2014 novel by Anthony Doerr,all the we can not see novel by,realistic,False,
Q1141032,Manon Lescaut,novel by Abbé Prévost,Antoine François Prévost,memoir,novel,French,France,+1731-00-00T00:00:00Z,François Didot,literary work,,,,,,memoir,memoir,realistic,1731.0,classical,France,Manon Lescaut novel by Abbé Prévost,novel by,realistic,False,
Q214371,The Great Gatsby,1925 novel by F. Scott Fitzgerald,F. Scott Fitzgerald,Lies,novel,English,United States,+1925-04-10T00:00:00Z,,literary work,Le Monde's 100 Books of the Century,In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,"So we beat on, boats against the current, borne back ceaselessly into the past.","Then wear the gold hat, if that will move her; If you can bounce high, bounce for her too, Till she cry 'Lover, gold-hatted, high-bouncing lover, I must have you!'",,Lies,Lies,other,1925.0,modernist,United States,"The Great Gatsby In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since. So we beat on, boats against the current, borne back ceaselessly into the past. Then wear the gold hat, if that will move her; If you can bounce high, bounce for her too, Till she cry 'Lover, gold-hatted, high-bouncing lover, I must have you!' 1925 novel by F. Scott Fitzgerald","the in my younger and more vulnerable years my father gave me some advice that i ’ ve been turning over in my mind ever since . so we beat on , boats against the current , borne back ceaselessly into the past . then wear the gold hat , if that will move her ; if you can bounce high , bounce for her too , she cry 'lover , gold-hatted , high-bouncing lover , i must have you ! ' novel by",speculative,True,0.5214369898977953
Q129778,Heart of Darkness,1899 novella by Joseph Conrad,Joseph Conrad,fiction literature,novella,British English,United Kingdom,+1899-00-00T00:00:00Z,,literary work,20th Century's Greatest Hits: 100 English-Language Books of Fiction,"The Nellie, a cruising yawl, swung to her anchor without a flutter of the sails, and was at rest.","The offing was barred by a black bank of clouds, and the tranquil waterway leading to the uttermost ends of the earth flowed somber under an overcast sky—seemed to lead into the heart of an immense darkness.",,,fiction literature,fiction literature,realistic,1899.0,victorian,United Kingdom,"Heart of Darkness The Nellie, a cruising yawl, swung to her anchor without a flutter of the sails, and was at rest. The offing was barred by a black bank of clouds, and the tranquil waterway leading to the uttermost ends of the earth flowed somber under an overcast sky—seemed to lead into the heart of an immense darkness. 1899 novella by Joseph Conrad","of the , a cruising yawl , swung to her anchor without a flutter of the sails , and was at rest . the offing was barred by a black bank of clouds , and the tranquil waterway leading to the uttermost ends of the earth flowed under an overcast sky—seemed to lead into the heart of an immense darkness . novella by",realistic,False,
Q658375,The Fault in Our Stars,novel by John Green,John Green,young adult fiction,novel,English,United States,+2012-01-10T00:00:00Z,,literary work,Premio Bartolomé Hidalgo,,,,,young adult fiction,young adult fiction,other,2012.0,modern,United States,The Fault in Our Stars novel by John Green,the fault in our novel by,speculative,True,0.5040807810337793
Q7063819,Noughts & Crosses,series of young adult novels by British author Malorie Blackman,Malorie Blackman,young adult fiction,,English,United Kingdom,+2001-00-00T00:00:00Z,Random House,literary tetralogy,,,,,young adult,young adult fiction,young adult fiction,other,2001.0,modern,United Kingdom,Noughts & Crosses series of young adult novels by British author Malorie Blackman,& series of young adult novels by british author,speculative,True,0.6517895066787612
Q11831,Snow White,fairy tale version published by the Brothers Grimm,Brothers Grimm,fairy tale,short story,German,Germany,+1812-00-00T00:00:00Z,,literary work,,,,,fairy tale,fairy tale,fairy tale,speculative,1812.0,romantic,other,Snow White fairy tale version published by the Brothers Grimm,fairy tale version published by the,speculative,False,
Q274744,Sense and Sensibility,1811 novel by Jane Austen,Jane Austen,bildungsroman,novel,English,United Kingdom,+1811-00-00T00:00:00Z,Thomas Egerton,literary work,,The family of Dashwood had been long settled in Sussex.,"Between Barton and Delaford, there was that constant communication which strong family affection would naturally dictate;— and among the merits and the happiness of Elinor and Marianne, let it not be ranked as the least considerable, that though sisters, and living almost within sight of each other, they could live without disagreement between themselves, or producing coolness between their husbands.",,,bildungsroman,bildungsroman,realistic,1811.0,romantic,United Kingdom,"Sense and Sensibility The family of Dashwood had been long settled in Sussex. Between Barton and Delaford, there was that constant communication which strong family affection would naturally dictate;— and among the merits and the happiness of Elinor and Marianne, let it not be ranked as the least considerable, that though sisters, and living almost within sight of each other, they could live without disagreement between themselves, or producing coolness between their husbands. 1811 novel by Jane Austen","sense and the family of had been long settled in . and , there was that constant communication which strong family affection would naturally dictate ; and among the merits and the happiness of and , let it not be ranked as the least considerable , that though sisters , and living almost within sight of each other , they could live without disagreement between themselves , or producing coolness between their husbands . novel by",realistic,False,
Q223880,Emma,1815 novel by Jane Austen,Jane Austen,romantic fiction,novel,English,United Kingdom,+1815-12-23T00:00:00Z,John Murray,literary work,,"Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.","But, in spite of these deficiencies, the wishes, the hopes, the confidence, the predictions of the small band of true friends who witnessed the ceremony, were fully answered in the perfect happiness of the union.",,,romantic fiction,romantic fiction,realistic,1815.0,romantic,United Kingdom,"Emma Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her. But, in spite of these deficiencies, the wishes, the hopes, the confidence, the predictions of the small band of true friends who witnessed the ceremony, were fully answered in the perfect happiness of the union. 1815 novel by Jane Austen",", handsome , clever , and rich , with a comfortable home and happy disposition , seemed to unite some of the best blessings of existence ; and had lived nearly years in the world with very little to distress or vex her . but , in spite of these deficiencies , the wishes , the hopes , the confidence , the predictions of the small band of true friends who witnessed the ceremony , were fully answered in the perfect happiness of the union . novel by",realistic,False,
Q189811,David Copperfield,1849–1850 novel by Charles Dickens,Charles Dickens,autobiographical novel,novel,English,United Kingdom,+1850-00-00T00:00:00Z,Bradbury and Evans,literary work,,"Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show.",,,,autobiographical novel,autobiographical novel,realistic,1850.0,victorian,United Kingdom,"David Copperfield Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show. 1849–1850 novel by Charles Dickens","i shall turn out to be the hero of my own life , or whether that station will be held by anybody else , these pages must show . novel by",realistic,False,
